Cód. Cota,Categoria,Crédito,Entrada,Nº Parcelas,Vlr Parcela,Saldo devedor,Fundo comum,Ref. garantia,Administradora,Status
214,Imóvel,"R$82.350,00","R$32.258,75",131,"R$781,00","R$102.311,00","R$0,00","R$0,00",HS Consórcios,Disponível
146,Imóvel,"R$82.400,00","R$30.810,00",132,"R$684,00","R$90.288,00","R$0,00","R$0,00",HS Consórcios,Disponível
132,Imóvel,"R$82.800,00","R$31.470,00",140,"R$676,00","R$94.640,00","R$0,00","R$0,00",HS Consórcios,Disponível
171,Imóvel,"R$83.050,00","R$30.626,25",141,"R$704,00","R$99.264,00","R$0,00","R$0,00",HS Consórcios,Disponível
145,Imóvel,"R$83.150,00","R$33.428,75",135,"R$688,00","R$92.880,00","R$0,00","R$0,00",HS Consórcios,Disponível
162,Imóvel,"R$83.250,00","R$33.481,25",149,"R$697,00","R$103.853,00","R$0,00","R$0,00",HS Consórcios,Disponível
193,Imóvel,"R$83.250,00","R$32.781,25",127,"R$735,00","R$93.345,00","R$0,00","R$0,00",HS Consórcios,Disponível
167,Imóvel,"R$83.600,00","R$32.990,00",137,"R$702,00","R$96.174,00","R$0,00","R$0,00",HS Consórcios,Disponível
142,Imóvel,"R$83.800,00","R$33.095,00",137,"R$692,00","R$94.804,00","R$0,00","R$0,00",HS Consórcios,Disponível
198,Imóvel,"R$84.800,00","R$31.820,00",116,"R$774,00","R$89.784,00","R$0,00","R$0,00",HS Consórcios,Disponível
351,Imóvel,"R$84.950,00","R$36.623,75",91,"R$812,00","R$73.892,00","R$0,00","R$0,00",HS Consórcios,Disponível
348,Imóvel,"R$85.000,00","R$35.375,00",91,"R$857,00","R$77.987,00","R$0,00","R$0,00",HS Consórcios,Disponível
133,Imóvel,"R$85.000,00","R$32.525,00",136,"R$696,00","R$94.656,00","R$0,00","R$0,00",HS Consórcios,Disponível
211,Imóvel,"R$85.350,00","R$32.883,75",110,"R$797,00","R$87.670,00","R$0,00","R$0,00",HS Consórcios,Disponível
60,Imóvel,"R$85.583,00","R$31.789,58",86,"R$867,00","R$74.562,00","R$0,00","R$0,00",Magalu,Disponível
103,Imóvel,"R$86.000,00","R$31.950,00",156,"R$688,00","R$107.328,00","R$0,00","R$0,00",Caixa,Disponível
101,Imóvel,"R$86.200,00","R$31.955,00",154,"R$706,00","R$108.724,00","R$0,00","R$0,00",Caixa,Disponível
127,Imóvel,"R$86.250,00","R$34.556,25",138,"R$698,00","R$96.324,00","R$0,00","R$0,00",HS Consórcios,Disponível
586,Imóvel,"R$87.200,00","R$42.180,00",184,"R$555,00","R$102.120,00","R$0,00","R$0,00",Caixa,Disponível
178,Imóvel,"R$87.250,00","R$32.731,25",128,"R$744,00","R$95.232,00","R$0,00","R$0,00",HS Consórcios,Disponível
177,Imóvel,"R$89.100,00","R$33.777,50",123,"R$758,00","R$93.234,00","R$0,00","R$0,00",HS Consórcios,Disponível
106,Imóvel,"R$89.650,00","R$36.191,25",146,"R$688,00","R$100.448,00","R$0,00","R$0,00",HS Consórcios,Disponível
200,Imóvel,"R$90.300,00","R$35.657,50",118,"R$828,00","R$97.704,00","R$0,00","R$0,00",HS Consórcios,Disponível
380,Imóvel,"R$90.650,00","R$44.166,25",118,"R$701,00","R$82.718,00","R$0,00","R$0,00",Magalu,Disponível
371,Imóvel,"R$91.900,00","R$42.897,50",152,"R$560,00","R$85.120,00","R$0,00","R$0,00",Caixa,Disponível
184,Imóvel,"R$91.900,00","R$37.197,50",131,"R$788,00","R$103.228,00","R$0,00","R$0,00",HS Consórcios,Disponível
188,Imóvel,"R$92.150,00","R$36.653,75",121,"R$798,00","R$96.558,00","R$0,00","R$0,00",HS Consórcios,Disponível
537,Imóvel,"R$92.433,00","R$39.394,82",230,"R$492,00","R$113.160,00","R$0,00","R$0,00",Embracon,Disponível
228,Imóvel,"R$92.500,00","R$35.475,00",157,"R$787,36","R$123.615,52","R$0,00","R$0,00",Rodobens,Disponível
173,Imóvel,"R$92.600,00","R$36.615,00",121,"R$785,57","R$95.053,97","R$0,00","R$0,00",HS Consórcios,Disponível
610,Imóvel,"R$92.784,00","R$38.990,00",96,"R$690,14","R$66.253,44","R$0,00","R$0,00",MyCon,Disponível
602,Imóvel,"R$94.883,54","R$45.474,41",159,"R$601,16","R$95.584,44","R$0,00","R$0,00",Portobens,Disponível
587,Imóvel,"R$94.900,00","R$49.672,50",160,"R$601,16","R$96.185,60","R$0,00","R$0,00",Portobens,Disponível
96,Imóvel,"R$95.700,00","R$38.092,50",160,"R$717,00","R$114.720,00","R$0,00","R$0,00",HS Consórcios,Disponível
172,Imóvel,"R$96.000,00","R$38.800,00",144,"R$814,00","R$117.216,00","R$0,00","R$0,00",HS Consórcios,Disponível
85,Imóvel,"R$98.000,00","R$34.950,00",116,"R$1.024,00","R$118.784,00","R$0,00","R$0,00",CNP Consórcio,Disponível
606,Imóvel,"R$98.000,00","R$45.080,00",195,"R$509,37","R$99.327,15","R$0,00","R$0,00",Portobens,Disponível
